Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
esp32s-wroom-32s-carte-developpement-wifibluetooth-38-broches,ESP32S - WROOM-32S Carte Developpement WIFI+BLUETOOTH 38 BROCHES,Title,Default Title,,,,,XD792,,,Shop location,,0,0,0,0,0,
esp32s-wroom-32s-carte-developpement-wifibluetooth-38-broches,ESP32S - WROOM-32S Carte Developpement WIFI+BLUETOOTH 38 BROCHES,Title,Default Title,,,,,XD792,,,My Custom Location,,not stocked,not stocked,not stocked,not stocked,not stocked,
esp32s-wroom-32s-carte-developpement-wifibluetooth-38-broches,ESP32S - WROOM-32S Carte Developpement WIFI+BLUETOOTH 38 BROCHES,Title,Default Title,,,,,XD792,,,Snow City Warehouse,,not stocked,not stocked,not stocked,not stocked,not stocked,
panneau-solaire-epoxy-monocrystallilne-213-92mm-7-5v-200ma,Panneau Solaire époxy Monocrystallilne 213 * 92mm 7.5V 200mA,Title,Default Title,,,,,NC254,,,Shop location,,0,0,0,0,0,
panneau-solaire-epoxy-monocrystallilne-213-92mm-7-5v-200ma,Panneau Solaire époxy Monocrystallilne 213 * 92mm 7.5V 200mA,Title,Default Title,,,,,NC254,,,My Custom Location,,not stocked,not stocked,not stocked,not stocked,not stocked,
panneau-solaire-epoxy-monocrystallilne-213-92mm-7-5v-200ma,Panneau Solaire époxy Monocrystallilne 213 * 92mm 7.5V 200mA,Title,Default Title,,,,,NC254,,,Snow City Warehouse,,not stocked,not stocked,not stocked,not stocked,not stocked,
ensemble-de-bornes-a-sertir-fil-connecteur-femelle-et-male-isole-100-paires-frd,Ensemble de bornes à sertir de fil de connecteur femelle et mâle isolé 100 paires: FRD / MPD2-156 *,Title,Default Title,,,,,AE095,,,Shop location,,0,0,0,0,0,
ensemble-de-bornes-a-sertir-fil-connecteur-femelle-et-male-isole-100-paires-frd,Ensemble de bornes à sertir de fil de connecteur femelle et mâle isolé 100 paires: FRD / MPD2-156 *,Title,Default Title,,,,,AE095,,,My Custom Location,,not stocked,not stocked,not stocked,not stocked,not stocked,
ensemble-de-bornes-a-sertir-fil-connecteur-femelle-et-male-isole-100-paires-frd,Ensemble de bornes à sertir de fil de connecteur femelle et mâle isolé 100 paires: FRD / MPD2-156 *,Title,Default Title,,,,,AE095,,,Snow City Warehouse,,not stocked,not stocked,not stocked,not stocked,not stocked,
mpu9250-accelerometre-magnetometre-et-gyroscope-9-axes,MPU9250 Accelerometre Magnetometre ET Gyroscope 9 AXES,Title,Default Title,,,,,NB038,,,Shop location,,0,0,0,0,0,
mpu9250-accelerometre-magnetometre-et-gyroscope-9-axes,MPU9250 Accelerometre Magnetometre ET Gyroscope 9 AXES,Title,Default Title,,,,,NB038,,,My Custom Location,,not stocked,not stocked,not stocked,not stocked,not stocked,
mpu9250-accelerometre-magnetometre-et-gyroscope-9-axes,MPU9250 Accelerometre Magnetometre ET Gyroscope 9 AXES,Title,Default Title,,,,,NB038,,,Snow City Warehouse,,not stocked,not stocked,not stocked,not stocked,not stocked,
cjmcu-64-matrice-led-rgb-ws2812-5050-8x8-feux-de-conduite-polychromes,CJMCU-64 Matrice Led RGB WS2812 5050 RGB 8x8 64 LED Feux de conduite polychromes,Title,Default Title,,,,,NA330,,,Shop location,,0,0,0,0,0,
cjmcu-64-matrice-led-rgb-ws2812-5050-8x8-feux-de-conduite-polychromes,CJMCU-64 Matrice Led RGB WS2812 5050 RGB 8x8 64 LED Feux de conduite polychromes,Title,Default Title,,,,,NA330,,,My Custom Location,,not stocked,not stocked,not stocked,not stocked,not stocked,
cjmcu-64-matrice-led-rgb-ws2812-5050-8x8-feux-de-conduite-polychromes,CJMCU-64 Matrice Led RGB WS2812 5050 RGB 8x8 64 LED Feux de conduite polychromes,Title,Default Title,,,,,NA330,,,Snow City Warehouse,,not stocked,not stocked,not stocked,not stocked,not stocked,
capteur-de-courant-sct-013-000v-60a1v,Capteur de Courant SCT-013-000V 60A:1V,Title,Default Title,,,,,NB133,,,Shop location,,0,0,0,0,0,
